"Invoice.Number","Line.Item","Date","Account","Product","Quantity","Gross.Value","Net.Value","VAT"
290435845,"LN001",2018-11-01,"1-66970795",287901,3,2475,2062.5,412.5
290435845,"LN002",2018-11-01,"1-66970795",287992,10,338.52,282.1,56.42
290435845,"LN003",2018-11-01,"1-66970795",287993,12,427.82,356.52,71.3
290435845,"LN004",2018-11-01,"1-66970795",287922,5,344.64,287.2,57.44
290435845,"LN005",2018-11-01,"1-66970795",287912,5,323.46,269.55,53.91
290435845,"LN006",2018-11-01,"1-66970795",287903,6,8978.4,7482,1496.4
290435845,"LN007",2018-11-01,"1-66970795",287794,4,6900,5750,1150
290435846,"LN001",2018-11-02,"1-66970448",287774,15,1056.96,880.8,176.16
290435846,"LN002",2018-11-02,"1-66970448",287772,4,6194.4,5162,1032.4
290435846,"LN003",2018-11-02,"1-66970448",287867,11,16018.2,13348.5,2669.7
290435846,"LN004",2018-11-02,"1-66970448",287767,1,1617.3,1347.75,269.55
290435846,"LN005",2018-11-02,"1-66970448",287781,5,7831.5,6526.25,1305.25
290435846,"LN006",2018-11-02,"1-66970448",287778,4,6356.4,5297,1059.4
290435846,"LN007",2018-11-02,"1-66970448",287798,1,1545.3,1287.75,257.55
290435846,"LN008",2018-11-02,"1-66970448",287876,12,17474.4,14562,2912.4
290435847,"LN001",2018-11-04,"1-66970820",287782,4,6194.4,5162,1032.4
290435847,"LN002",2018-11-04,"1-66970820",287779,1,1456.2,1213.5,242.7
290435847,"LN003",2018-11-04,"1-66970820",287799,3,4542.3,3785.25,757.05
290435847,"LN004",2018-11-04,"1-66970820",287787,1,1566.6,1305.5,261.1
290435847,"LN005",2018-11-04,"1-66970820",287792,4,7324.8,6104,1220.8
290435847,"LN006",2018-11-04,"1-66970820",287802,8,13756.8,11464,2292.8
290435848,"LN001",2018-11-05,"1-66970552",287924,2,3454.2,2878.5,575.7
290435848,"LN002",2018-11-05,"1-66970552",287901,10,587.64,489.7,97.94
290435848,"LN003",2018-11-05,"1-66970552",287992,2,2684.4,2237,447.4
290435848,"LN004",2018-11-05,"1-66970552",287993,10,578.52,482.1,96.42
290435848,"LN005",2018-11-05,"1-66970552",287922,3,117.76,98.13,19.63
290435848,"LN006",2018-11-05,"1-66970552",287912,1,1539.36,1282.8,256.56
290435849,"LN001",2018-11-06,"1-66970461",287903,5,7259.04,6049.2,1209.84
290435849,"LN002",2018-11-06,"1-66970461",287794,1,1711.3,1426.08,285.22
290435849,"LN003",2018-11-06,"1-66970461",287774,1,1670.98,1392.48,278.5
290435849,"LN004",2018-11-06,"1-66970461",287772,6,417.74,348.12,69.62
290435849,"LN005",2018-11-06,"1-66970461",287867,5,172.98,144.15,28.83
290435849,"LN006",2018-11-06,"1-66970461",287767,1,1474.2,1228.5,245.7
290435850,"LN001",2018-11-07,"1-66970524",287781,10,589.68,491.4,98.28
290435850,"LN002",2018-11-07,"1-66970524",287778,12,844.7,703.92,140.78
290435850,"LN003",2018-11-07,"1-66970524",287798,4,7046.4,5872,1174.4
290435850,"LN004",2018-11-07,"1-66970524",287876,1,1469.1,1224.25,244.85
290435851,"LN001",2018-11-10,"1-66970654",287782,7,9620.1,8016.75,1603.35
290435851,"LN002",2018-11-10,"1-66970654",287779,13,17600.7,14667.25,2933.45
290435851,"LN003",2018-11-10,"1-66970654",287799,5,286.92,239.1,47.82
290435851,"LN004",2018-11-10,"1-66970654",287787,10,732.24,610.2,122.04
290435851,"LN005",2018-11-10,"1-66970654",287792,2,2684.4,2237,447.4
290435851,"LN006",2018-11-10,"1-66970654",287802,15,26424,22020,4404
290435851,"LN007",2018-11-10,"1-66970654",287924,1,1389,1157.5,231.5
290435851,"LN008",2018-11-10,"1-66970654",287901,8,11954.4,9962,1992.4
290435852,"LN001",2018-11-11,"1-66970689",287992,5,7371,6142.5,1228.5
290435852,"LN002",2018-11-11,"1-66970689",287993,20,34392,28660,5732
290435852,"LN003",2018-11-11,"1-66970689",287922,15,24916.5,20763.75,4152.75
290435852,"LN004",2018-11-11,"1-66970689",287912,13,21024.9,17520.75,3504.15
290435852,"LN005",2018-11-11,"1-66970689",287903,4,6469.2,5391,1078.2
290435852,"LN006",2018-11-11,"1-66970689",287794,3,5284.8,4404,880.8
290435852,"LN007",2018-11-11,"1-66970689",287774,5,8598,7165,1433
290435853,"LN001",2018-11-12,"1-66970690",287772,4,5977.2,4981,996.2
290435853,"LN002",2018-11-12,"1-66970690",287867,11,16437.3,13697.75,2739.55
290435853,"LN003",2018-11-12,"1-66970690",287767,2,3090.6,2575.5,515.1
290435853,"LN004",2018-11-12,"1-66970690",287781,10,619.44,516.2,103.24
290435853,"LN005",2018-11-12,"1-66970690",287778,2,3439.2,2866,573.2
290435853,"LN006",2018-11-12,"1-66970690",287798,7,12037.2,10031,2006.2
290435853,"LN007",2018-11-12,"1-66970690",287876,1,1719.6,1433,286.6
290435853,"LN008",2018-11-12,"1-66970690",287782,18,31708.8,26424,5284.8
290435853,"LN009",2018-11-12,"1-66970690",287779,1,1709.1,1424.25,284.85
290435854,"LN001",2018-11-13,"1-66970692",287799,17,25403.1,21169.25,4233.85
290435854,"LN002",2018-11-13,"1-66970692",287787,12,17690.4,14742,2948.4
290435854,"LN003",2018-11-13,"1-66970692",287792,1,1474.2,1228.5,245.7
290435854,"LN004",2018-11-13,"1-66970692",287802,10,703.92,586.6,117.32
290435854,"LN005",2018-11-13,"1-66970692",287924,5,8808,7340,1468
290435854,"LN006",2018-11-13,"1-66970692",287901,4,5985.6,4988,997.6
290435854,"LN007",2018-11-13,"1-66970692",287992,3,5175,4312.5,862.5
290435855,"LN001",2018-11-14,"1-66970693",287993,5,8119.5,6766.25,1353.25
290435855,"LN002",2018-11-14,"1-66970693",287922,4,6194.4,5162,1032.4
290435855,"LN003",2018-11-14,"1-66970693",287912,16,23299.2,19416,3883.2
290435855,"LN004",2018-11-14,"1-66970693",287903,11,19377.6,16148,3229.6
290435855,"LN005",2018-11-14,"1-66970693",287794,1,1514.1,1261.75,252.35
290435855,"LN006",2018-11-14,"1-66970693",287774,10,15141,12617.5,2523.5
290435855,"LN007",2018-11-14,"1-66970693",287772,5,8598,7165,1433
290435855,"LN008",2018-11-14,"1-66970693",287867,1,1727.1,1439.25,287.85
290435855,"LN009",2018-11-14,"1-66970693",287767,2,3662.4,3052,610.4
290435856,"LN001",2018-11-17,"1-66970592",287781,5,7831.5,6526.25,1305.25
290435856,"LN002",2018-11-17,"1-66970592",287778,10,541.56,451.3,90.26
290435856,"LN003",2018-11-17,"1-66970592",287798,6,9534.6,7945.5,1589.1
290435856,"LN004",2018-11-17,"1-66970592",287876,2,3090.6,2575.5,515.1
290435856,"LN005",2018-11-17,"1-66970592",287782,10,14562,12135,2427
290435857,"LN001",2018-11-18,"1-66970803",287779,2,3097.2,2581,516.2
290435857,"LN002",2018-11-18,"1-66970803",287799,1,1389,1157.5,231.5
290435857,"LN003",2018-11-18,"1-66970803",287787,4,5415.6,4513,902.6
290435857,"LN004",2018-11-18,"1-66970803",287792,1,854.5,712.08,142.42
290435857,"LN005",2018-11-18,"1-66970803",287802,20,15600,13000,2600
290435857,"LN006",2018-11-18,"1-66970803",287924,48,37439.99,31200,6239.99
290435857,"LN007",2018-11-18,"1-66970803",287901,1,1601.86,1334.88,266.98
290435858,"LN001",2018-11-19,"1-66970821",287992,2,3030.91,2525.76,505.15
290435858,"LN002",2018-11-19,"1-66970821",287993,4,6356.4,5297,1059.4
290435858,"LN003",2018-11-19,"1-66970821",287922,3,4389.12,3657.6,731.52
290435858,"LN004",2018-11-19,"1-66970821",287912,6,8778.24,7315.2,1463.04
290435858,"LN005",2018-11-19,"1-66970821",287903,1,1587.9,1323.25,264.65
290435858,"LN006",2018-11-19,"1-66970821",287794,3,4763.7,3969.75,793.95
290435858,"LN007",2018-11-19,"1-66970821",287774,10,536.88,447.4,89.48
290435859,"LN001",2018-11-20,"1-66970494",287772,8,11112,9260,1852
290435859,"LN002",2018-11-20,"1-66970494",287867,12,16668,13890,2778
290435859,"LN003",2018-11-20,"1-66970494",287767,5,6769.5,5641.25,1128.25
290435859,"LN004",2018-11-20,"1-66970494",287781,8,10737.6,8948,1789.6
290435859,"LN005",2018-11-20,"1-66970494",287778,10,367.2,306,61.2
290435859,"LN006",2018-11-20,"1-66970494",287798,10,734.64,612.2,122.44
290435859,"LN007",2018-11-20,"1-66970494",287876,3,2475,2062.5,412.5
290435860,"LN001",2018-11-21,"1-66970409",287782,1,1624.9,1354.08,270.82
290435860,"LN002",2018-11-21,"1-66970409",287779,5,344.64,287.2,57.44
290435860,"LN003",2018-11-21,"1-66970409",287799,1,1608.9,1340.75,268.15
290435860,"LN004",2018-11-21,"1-66970409",287787,1,1551.74,1293.12,258.62
290435860,"LN005",2018-11-21,"1-66970409",287792,2,2684.4,2237,447.4
290435860,"LN006",2018-11-21,"1-66970409",287802,10,392.52,327.1,65.42
290435861,"LN001",2018-11-24,"1-66970581",287924,24,641.38,534.48,106.9
290435861,"LN002",2018-11-24,"1-66970581",287901,1,1711.3,1426.08,285.22
290435861,"LN003",2018-11-24,"1-66970581",287992,4,6845.18,5704.32,1140.86
290435861,"LN004",2018-11-24,"1-66970581",287993,1,1670.98,1392.48,278.5
290435861,"LN005",2018-11-24,"1-66970581",287922,2,3273,2727.5,545.5
290435861,"LN006",2018-11-24,"1-66970581",287912,3,4026.6,3355.5,671.1
290435862,"LN001",2018-11-25,"1-66970716",287903,1,830.3,691.92,138.38
290435862,"LN002",2018-11-25,"1-66970716",287794,5,228.42,190.35,38.07
290435862,"LN003",2018-11-25,"1-66970716",287774,5,6711,5592.5,1118.5
290435862,"LN004",2018-11-25,"1-66970716",287772,5,6871.5,5726.25,1145.25
290435862,"LN005",2018-11-25,"1-66970716",287867,16,21662.4,18052,3610.4
290435862,"LN006",2018-11-25,"1-66970716",287767,2,69.36,57.8,11.56
290435862,"LN007",2018-11-25,"1-66970716",287781,24,607.39,506.16,101.23
290435863,"LN001",2018-11-26,"1-66970671",287778,6,4692.6,3910.5,782.1
290435863,"LN002",2018-11-26,"1-66970671",287798,7,5474.7,4562.25,912.45
290435863,"LN003",2018-11-26,"1-66970671",287876,20,633.12,527.6,105.52
290435863,"LN004",2018-11-26,"1-66970671",287782,2,91.54,76.28,15.26
290435863,"LN005",2018-11-26,"1-66970671",287779,1,1467.07,1222.56,244.51
290435863,"LN006",2018-11-26,"1-66970671",287799,3,5165.1,4304.25,860.85
290435864,"LN001",2018-11-27,"1-66970672",287787,10,346.8,289,57.8
290435864,"LN002",2018-11-27,"1-66970672",287792,20,648.24,540.2,108.04
290435864,"LN003",2018-11-27,"1-66970672",287802,9,15873.3,13227.75,2645.55
290435864,"LN004",2018-11-27,"1-66970672",287924,6,10582.2,8818.5,1763.7
290435864,"LN005",2018-11-27,"1-66970672",287901,1,1726.8,1439,287.8
290435864,"LN006",2018-11-27,"1-66970672",287992,10,690.72,575.6,115.12
290435865,"LN001",2018-11-28,"1-66970664",287993,10,574.68,478.9,95.78
290435865,"LN002",2018-11-28,"1-66970664",287922,5,289.68,241.4,48.28
290435865,"LN003",2018-11-28,"1-66970664",287912,5,287.34,239.45,47.89
290435865,"LN004",2018-11-28,"1-66970664",287903,10,733.08,610.9,122.18
290435865,"LN005",2018-11-28,"1-66970664",287794,9,15495.3,12912.75,2582.55
290435865,"LN006",2018-11-28,"1-66970664",287774,5,8316,6930,1386
290435865,"LN007",2018-11-28,"1-66970664",287772,9,14968.8,12474,2494.8
290435865,"LN008",2018-11-28,"1-66970664",287867,6,9716.4,8097,1619.4
290435865,"LN009",2018-11-28,"1-66970664",287767,8,12955.2,10796,2159.2
290435865,"LN010",2018-11-28,"1-66970664",287781,8,14109.6,11758,2351.6
290435869,"LN001",2018-11-01,"1-66970795",287901,9,15495.3,12912.75,2582.55
290435869,"LN002",2018-11-01,"1-66970795",287992,6,9547.2,7956,1591.2
290435869,"LN003",2018-11-01,"1-66970795",287993,10,356.88,297.4,59.48
290435869,"LN004",2018-11-01,"1-66970795",287922,1,1721.7,1434.75,286.95
290435869,"LN005",2018-11-01,"1-66970795",287912,10,620.28,516.9,103.38
290435869,"LN006",2018-11-01,"1-66970795",287903,10,627.48,522.9,104.58
290435869,"LN007",2018-11-01,"1-66970795",287794,10,17217,14347.5,2869.5
290435870,"LN001",2018-11-02,"1-66970448",287774,2,3430.66,2858.88,571.78
290435870,"LN002",2018-11-02,"1-66970448",287772,2,91.25,76.04,15.21
290435870,"LN003",2018-11-02,"1-66970448",287867,15,1045.62,871.35,174.27
290435870,"LN004",2018-11-02,"1-66970448",287767,10,605.76,504.8,100.96
290435870,"LN005",2018-11-02,"1-66970448",287781,1,1833.3,1527.75,305.55
290435870,"LN006",2018-11-02,"1-66970448",287778,7,11138.4,9282,1856.4
290435870,"LN007",2018-11-02,"1-66970448",287798,2,3101.4,2584.5,516.9
290435870,"LN008",2018-11-02,"1-66970448",287876,2,3101.4,2584.5,516.9
290435871,"LN001",2018-11-04,"1-66970820",287782,1,1568.7,1307.25,261.45
290435871,"LN002",2018-11-04,"1-66970820",287779,5,358.8,299,59.8
290435871,"LN003",2018-11-04,"1-66970820",287799,4,6886.8,5739,1147.8
290435871,"LN004",2018-11-04,"1-66970820",287787,4,6886.8,5739,1147.8
290435871,"LN005",2018-11-04,"1-66970820",287792,2,3458.4,2882,576.4
290435871,"LN006",2018-11-04,"1-66970820",287802,10,636,530,106
290435872,"LN001",2018-11-05,"1-66970552",287924,10,588.48,490.4,98.08
290435872,"LN002",2018-11-05,"1-66970552",287901,10,579.36,482.8,96.56
290435872,"LN003",2018-11-05,"1-66970552",287992,1,1436.7,1197.25,239.45
290435872,"LN004",2018-11-05,"1-66970552",287993,10,735.24,612.7,122.54
290435872,"LN005",2018-11-05,"1-66970552",287922,1,1727.1,1439.25,287.85
290435872,"LN006",2018-11-05,"1-66970552",287912,10,618.96,515.8,103.16
290435873,"LN001",2018-11-06,"1-66970461",287903,6,9304.2,7753.5,1550.7
290435873,"LN002",2018-11-06,"1-66970461",287794,5,313.74,261.45,52.29
290435873,"LN003",2018-11-06,"1-66970461",287774,5,352.38,293.65,58.73
290435873,"LN004",2018-11-06,"1-66970461",287772,10,17636.99,14697.5,2939.49
290435873,"LN005",2018-11-06,"1-66970461",287867,10,574.68,478.9,95.78
290435873,"LN006",2018-11-06,"1-66970461",287767,1,1485.9,1238.25,247.65
290435874,"LN001",2018-11-07,"1-66970524",287781,5,289.68,241.4,48.28
290435874,"LN002",2018-11-07,"1-66970524",287778,5,297.18,247.65,49.53
290435874,"LN003",2018-11-07,"1-66970524",287798,4,5377.2,4481,896.2
290435874,"LN004",2018-11-07,"1-66970524",287876,10,367.68,306.4,61.28
290435875,"LN001",2018-11-10,"1-66970654",287782,5,367.74,306.45,61.29
290435875,"LN002",2018-11-10,"1-66970654",287779,2,3222,2685,537
290435875,"LN003",2018-11-10,"1-66970654",287799,3,207.04,172.53,34.51
290435875,"LN004",2018-11-10,"1-66970654",287787,6,4962.6,4135.5,827.1
290435875,"LN005",2018-11-10,"1-66970654",287792,22,672.41,560.34,112.07
290435875,"LN006",2018-11-10,"1-66970654",287802,6,8749.8,7291.5,1458.3
290435875,"LN007",2018-11-10,"1-66970654",287924,1,1763.7,1469.75,293.95
290435875,"LN008",2018-11-10,"1-66970654",287901,1,1590,1325,265
290435876,"LN001",2018-11-11,"1-66970689",287992,1,1485.9,1238.25,247.65
290435876,"LN002",2018-11-11,"1-66970689",287993,6,8346.6,6955.5,1391.1
290435876,"LN003",2018-11-11,"1-66970689",287922,2,2688.6,2240.5,448.1
290435876,"LN004",2018-11-11,"1-66970689",287912,16,23942.4,19952,3990.4
290435876,"LN005",2018-11-11,"1-66970689",287903,1,1547.4,1289.5,257.9
290435876,"LN006",2018-11-11,"1-66970689",287794,10,627.48,522.9,104.58
290435876,"LN007",2018-11-11,"1-66970689",287774,3,5165.1,4304.25,860.85
290435877,"LN001",2018-11-12,"1-66970690",287772,1,1391.1,1159.25,231.85
290435877,"LN002",2018-11-12,"1-66970690",287867,1,1356,1130,226
290435877,"LN003",2018-11-12,"1-66970690",287767,20,506.16,421.8,84.36
290435877,"LN004",2018-11-12,"1-66970690",287781,9,7038.9,5865.75,1173.15
290435877,"LN005",2018-11-12,"1-66970690",287778,40,1266.24,1055.2,211.04
290435877,"LN006",2018-11-12,"1-66970690",287798,2,2688.6,2240.5,448.1
290435877,"LN007",2018-11-12,"1-66970690",287876,10,324.12,270.1,54.02
290435877,"LN008",2018-11-12,"1-66970690",287782,9,13467.6,11223,2244.6
290435877,"LN009",2018-11-12,"1-66970690",287779,5,7381.5,6151.25,1230.25
290435878,"LN001",2018-11-13,"1-66970692",287799,1,1763.7,1469.75,293.95
290435878,"LN002",2018-11-13,"1-66970692",287787,2,2752.8,2294,458.8
290435878,"LN003",2018-11-13,"1-66970692",287792,3,4068,3390,678
290435878,"LN004",2018-11-13,"1-66970692",287802,5,289.68,241.4,48.28
290435878,"LN005",2018-11-13,"1-66970692",287924,1,1547.4,1289.5,257.9
290435878,"LN006",2018-11-13,"1-66970692",287901,10,14583,12152.5,2430.5
290435878,"LN007",2018-11-13,"1-66970692",287992,1,1550.7,1292.25,258.45
290435879,"LN001",2018-11-14,"1-66970693",287993,1,1458.3,1215.25,243.05
290435879,"LN002",2018-11-14,"1-66970693",287922,6,9097.2,7581,1516.2
290435879,"LN003",2018-11-14,"1-66970693",287912,1,1516.2,1263.5,252.7
290435879,"LN004",2018-11-14,"1-66970693",287903,1,1721.7,1434.75,286.95
290435879,"LN005",2018-11-14,"1-66970693",287794,1,1344.3,1120.25,224.05
290435879,"LN006",2018-11-14,"1-66970693",287774,1,1344.3,1120.25,224.05
290435879,"LN007",2018-11-14,"1-66970693",287772,11,19400.7,16167.25,3233.45
290435879,"LN008",2018-11-14,"1-66970693",287867,5,342.24,285.2,57.04
290435879,"LN009",2018-11-14,"1-66970693",287767,1,1391.1,1159.25,231.85
290435880,"LN001",2018-11-17,"1-66970592",287781,1,1591.2,1326,265.2
290435880,"LN002",2018-11-17,"1-66970592",287778,5,7842,6535,1307
290435880,"LN003",2018-11-17,"1-66970592",287798,10,357.36,297.8,59.56
290435880,"LN004",2018-11-17,"1-66970592",287876,10,334.56,278.8,55.76
290435880,"LN005",2018-11-17,"1-66970592",287782,1,1715.33,1429.44,285.89
290435881,"LN001",2018-11-18,"1-66970803",287779,1,1833.3,1527.75,305.55
290435881,"LN002",2018-11-18,"1-66970803",287799,5,4135.5,3446.25,689.25
290435881,"LN003",2018-11-18,"1-66970803",287787,10,339.36,282.8,56.56
290435881,"LN004",2018-11-18,"1-66970803",287792,12,428.83,357.36,71.47
290435881,"LN005",2018-11-18,"1-66970803",287802,6,10330.2,8608.5,1721.7
290435881,"LN006",2018-11-18,"1-66970803",287924,2,3443.4,2869.5,573.9
290435881,"LN007",2018-11-18,"1-66970803",287901,3,4989.6,4158,831.6
290435882,"LN001",2018-11-19,"1-66970821",287992,4,NA,NA,NA
290435882,"LN002",2018-11-19,"1-66970821",287993,2,3238.8,2699,539.8
290435882,"LN003",2018-11-19,"1-66970821",287922,1,1356,1130,226
290435882,"LN004",2018-11-19,"1-66970821",287912,1,1763.7,1469.75,293.95
290435882,"LN005",2018-11-19,"1-66970821",287903,7,12051.9,10043.25,2008.65
290435882,"LN006",2018-11-19,"1-66970821",287794,4,5994,4995,999
290435882,"LN007",2018-11-19,"1-66970821",287774,1,1727.1,1439.25,287.85
290435883,"LN001",2018-11-20,"1-66970494",287772,10,14562,12135,2427
290435883,"LN002",2018-11-20,"1-66970494",287867,22,38755.2,32296,6459.2
290435883,"LN003",2018-11-20,"1-66970494",287767,20,29886,24905,4981
290435883,"LN004",2018-11-20,"1-66970494",287781,10,646.92,539.1,107.82
290435883,"LN005",2018-11-20,"1-66970494",287778,1,1524.9,1270.75,254.15
290435883,"LN006",2018-11-20,"1-66970494",287798,7,10474.8,8729,1745.8
290435883,"LN007",2018-11-20,"1-66970494",287876,4,6495.6,5413,1082.6
290435884,"LN001",2018-11-21,"1-66970409",287782,5,270.78,225.65,45.13
290435884,"LN002",2018-11-21,"1-66970409",287779,5,8625,7187.5,1437.5
290435884,"LN003",2018-11-21,"1-66970409",287799,1,1624.9,1354.08,270.82
290435884,"LN004",2018-11-21,"1-66970409",287787,17,575.48,479.57,95.91
290435884,"LN005",2018-11-21,"1-66970409",287792,33,1176.52,980.43,196.09
290435884,"LN006",2018-11-21,"1-66970409",287802,2,137.86,114.88,22.98
290435885,"LN001",2018-11-24,"1-66970581",287924,1,1344.96,1120.8,224.16
290435885,"LN002",2018-11-24,"1-66970581",287901,31,944.88,787.4,157.48
290435885,"LN003",2018-11-24,"1-66970581",287992,1,1551.74,1293.12,258.62
290435885,"LN004",2018-11-24,"1-66970581",287993,3,4645.8,3871.5,774.3
290435885,"LN005",2018-11-24,"1-66970581",287922,7,12818.4,10682,2136.4
290435885,"LN006",2018-11-24,"1-66970581",287912,2,3090.6,2575.5,515.1
290435886,"LN001",2018-11-25,"1-66970716",287903,8,12530.4,10442,2088.4
290435886,"LN002",2018-11-25,"1-66970716",287794,3,4767.3,3972.75,794.55
290435886,"LN003",2018-11-25,"1-66970716",287774,16,23299.2,19416,3883.2
290435886,"LN004",2018-11-25,"1-66970716",287772,2,2912.4,2427,485.4
290435886,"LN005",2018-11-25,"1-66970716",287867,5,8808,7340,1468
290435886,"LN006",2018-11-25,"1-66970716",287767,10,17196,14330,2866
290435886,"LN007",2018-11-25,"1-66970716",287781,5,6769.5,5641.25,1128.25
290435887,"LN001",2018-11-26,"1-66970671",287778,1,1353.9,1128.25,225.65
290435887,"LN002",2018-11-26,"1-66970671",287798,1,1353.9,1128.25,225.65
290435887,"LN003",2018-11-26,"1-66970671",287876,5,8808,7340,1468
290435887,"LN004",2018-11-26,"1-66970671",287782,25,42990.01,35825,7165.01
290435887,"LN005",2018-11-26,"1-66970671",287779,1,1719.6,1433,286.6
290435887,"LN006",2018-11-26,"1-66970671",287799,6,9703.8,8086.5,1617.3
290435888,"LN001",2018-11-27,"1-66970672",287787,2,2778,2315,463
290435888,"LN002",2018-11-27,"1-66970672",287792,1,1545.3,1287.75,257.55
290435888,"LN003",2018-11-27,"1-66970672",287802,21,31380.3,26150.25,5230.05
290435888,"LN004",2018-11-27,"1-66970672",287924,13,19425.9,16188.25,3237.65
290435888,"LN005",2018-11-27,"1-66970672",287901,8,12388.8,10324,2064.8
290435888,"LN006",2018-11-27,"1-66970672",287992,2,3203.71,2669.76,533.95
290435889,"LN001",2018-11-28,"1-66970664",287993,2,3030.91,2525.76,505.15
290435889,"LN002",2018-11-28,"1-66970664",287922,29,915.59,762.99,152.6
290435889,"LN003",2018-11-28,"1-66970664",287912,9,15476.4,12897,2579.4
290435889,"LN004",2018-11-28,"1-66970664",287903,8,12712.8,10594,2118.8
290435889,"LN005",2018-11-28,"1-66970664",287794,3,4389.12,3657.6,731.52
290435889,"LN006",2018-11-28,"1-66970664",287774,5,277.8,231.5,46.3
290435889,"LN007",2018-11-28,"1-66970664",287772,1,1353.9,1128.25,225.65
290435889,"LN008",2018-11-28,"1-66970664",287867,2,69.19,57.66,11.53
290435889,"LN009",2018-11-28,"1-66970664",287767,4,3120,2600,520
290435889,"LN010",2018-11-28,"1-66970664",287781,48,37440,31200,6240
